i,j,x
2,1,1.0
5,1,1.0
7,1,1.0
8,1,1.0
9,1,1.0
10,1,1.0
13,1,1.0
14,1,1.0
15,1,1.0
16,1,1.0
17,1,1.0
18,1,1.0
21,1,1.0
25,1,1.0
3,2,1.0
1,3,1.0
23,4,1.0
19,5,1.0
1,6,1.0
11,7,1.0
12,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
6,14,1.0
1,15,1.0
1,16,1.0
1,17,1.0
4,18,1.0
1,19,1.0
1,20,1.0
22,21,1.0
24,22,1.0
1,23,1.0
1,24,1.0
20,25,1.0
