i,j,x
25,1,1.0
12,2,1.0
8,3,1.0
5,4,1.0
18,5,1.0
16,6,1.0
22,7,1.0
2,8,1.0
3,9,1.0
23,10,1.0
17,11,1.0
20,12,1.0
7,13,1.0
9,14,1.0
10,15,1.0
24,16,1.0
1,17,1.0
19,18,1.0
6,19,1.0
13,20,1.0
15,21,1.0
21,22,1.0
4,23,1.0
11,24,1.0
14,25,1.0
