,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,1,3,1,23,1,2,1,12,1,22,25,1,14,5,4,1,6,1,21,7,1,8,9,X,1,18,10,1,11,15,1,24,1,20,17,13,1,19,16
j,3,1,23,1,2,1,12,1,22,25,1,14,5,4,1,6,1,21,7,1,8,9,1,X,18,10,1,11,15,1,24,1,20,17,13,1,19,16,1
