i,j
1,2
2,1
1,3
3,1
1,4
4,1
1,5
5,1
1,6
6,7
7,1
1,8
8,9
9,10
10,1
1,11
11,1
1,12
12,13
13,1
1,14
14,15
15,1
1,16
16,17
17,1
1,18
18,19
19,1
1,20
20,1
1,21
21,22
22,23
23,1
1,24
24,25
25,1
