x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,75000,0,0,75000,0,25000,25000,25000,0,25000,0,25000,25000,25000,25000,0,0,150000,0,0,0,0,125000
0,75000,0,0,0,50000,0,25000,25000,25000,0,25000,25000,50000,25000,25000,25000,0,0,75000,0,0,0,0,75000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,75000,0,0,0,0,0,0
0,75000,50000,0,0,0,0,50000,50000,25000,0,50000,25000,50000,25000,25000,50000,0,0,75000,0,0,0,0,75000
0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,75000,50000,0,50000,0
0,25000,25000,0,0,50000,0,0,125000,100000,0,125000,75000,100000,100000,75000,150000,0,0,25000,0,0,0,0,25000
0,25000,25000,0,0,50000,0,125000,0,125000,0,100000,75000,75000,100000,100000,125000,0,0,25000,0,0,0,0,25000
0,25000,25000,0,0,25000,0,100000,125000,0,0,75000,75000,75000,75000,75000,100000,0,0,25000,0,0,0,0,0
0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,25000,0,25000,0
0,25000,25000,0,0,50000,0,125000,100000,75000,0,0,75000,125000,100000,100000,125000,0,0,25000,0,0,0,0,25000
0,0,25000,0,0,25000,0,75000,75000,75000,0,75000,0,75000,100000,125000,75000,0,0,0,0,0,0,0,0
0,25000,50000,0,0,50000,0,100000,75000,75000,0,125000,75000,0,75000,75000,100000,0,0,25000,0,0,0,0,25000
0,25000,25000,0,0,25000,0,100000,100000,75000,0,100000,100000,75000,0,150000,100000,0,0,25000,0,0,0,0,25000
0,25000,25000,0,0,25000,0,75000,100000,75000,0,100000,125000,75000,150000,0,100000,0,0,25000,0,0,0,0,0
0,25000,25000,0,0,50000,0,150000,125000,100000,0,125000,75000,100000,100000,100000,0,0,0,25000,0,0,0,0,25000
0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0
0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0
0,150000,75000,0,0,75000,0,25000,25000,25000,0,25000,0,25000,25000,25000,25000,0,0,0,0,0,0,0,125000
0,0,0,0,0,0,75000,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,75000,0,75000,0
0,0,0,0,0,0,50000,0,0,0,25000,0,0,0,0,0,0,0,0,0,75000,0,0,50000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,50000,0,0,0,25000,0,0,0,0,0,0,0,0,0,75000,50000,0,0,0
0,125000,75000,0,0,75000,0,25000,25000,0,0,25000,0,25000,25000,0,25000,0,0,125000,0,0,0,0,0
