x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,37500.0,0.0,0.0,37500.0,0.0,25000.0,12500.0,12500.0,0.0,12500.0,0.0,12500.0,12500.0,12500.0,12500.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,62500.0
0.0,37500.0,0.0,0.0,0.0,25000.0,0.0,12500.0,25000.0,12500.0,0.0,12500.0,12500.0,25000.0,12500.0,12500.0,12500.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,37500.0,25000.0,0.0,0.0,0.0,0.0,25000.0,25000.0,12500.0,0.0,25000.0,12500.0,25000.0,12500.0,12500.0,25000.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,25000.0,0.0,25000.0,0.0
0.0,12500.0,12500.0,0.0,0.0,25000.0,0.0,0.0,62500.0,50000.0,0.0,62500.0,37500.0,50000.0,50000.0,37500.0,75000.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,12500.0
0.0,12500.0,12500.0,0.0,0.0,25000.0,0.0,62500.0,0.0,62500.0,0.0,50000.0,37500.0,37500.0,50000.0,50000.0,62500.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,12500.0
0.0,12500.0,12500.0,0.0,0.0,12500.0,0.0,50000.0,62500.0,0.0,0.0,37500.0,37500.0,37500.0,37500.0,37500.0,50000.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,12500.0,0.0,25000.0,0.0
0.0,12500.0,12500.0,0.0,0.0,25000.0,0.0,62500.0,50000.0,37500.0,0.0,0.0,37500.0,62500.0,50000.0,50000.0,62500.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,12500.0
0.0,0.0,12500.0,0.0,0.0,12500.0,0.0,37500.0,37500.0,37500.0,0.0,37500.0,0.0,37500.0,50000.0,62500.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12500.0,25000.0,0.0,0.0,25000.0,0.0,50000.0,37500.0,37500.0,0.0,62500.0,37500.0,0.0,37500.0,37500.0,50000.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,25000.0
0.0,12500.0,12500.0,0.0,0.0,12500.0,0.0,50000.0,50000.0,37500.0,0.0,50000.0,50000.0,37500.0,0.0,75000.0,50000.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,12500.0
0.0,12500.0,12500.0,0.0,0.0,12500.0,0.0,37500.0,50000.0,37500.0,0.0,50000.0,62500.0,37500.0,75000.0,0.0,50000.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0
0.0,12500.0,12500.0,0.0,0.0,25000.0,0.0,75000.0,62500.0,50000.0,0.0,62500.0,37500.0,50000.0,50000.0,50000.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,12500.0
0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,75000.0,37500.0,0.0,0.0,37500.0,0.0,12500.0,12500.0,12500.0,0.0,25000.0,0.0,12500.0,12500.0,12500.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0
0.0,0.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,37500.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,25000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,25000.0,0.0,0.0,0.0
0.0,62500.0,37500.0,0.0,0.0,37500.0,0.0,12500.0,12500.0,0.0,0.0,12500.0,0.0,12500.0,12500.0,0.0,12500.0,0.0,0.0,62500.0,0.0,0.0,0.0,0.0,0.0
